Dataset;Training Loss;Test Loss;Training Accuracy;Test Accuracy;Training F1;Test F1;Training Loss K = 100;Test Loss K = 100;Training Accuracy K = 100;Test Accuracy K = 100;Training F1 K = 100;Test F1 K = 100;Training Loss K = 1000;Test Loss K = 1000;Training Accuracy K = 1000;Test Accuracy K = 1000;Training F1 K = 1000;Test F1 K = 1000;Training Loss K = 10000;Test Loss K = 10000;Training Accuracy K = 10000;Test Accuracy K = 10000;Training F1 K = 10000;Test F1 K = 10000
MoteStrain;432;489;875;0.8621794871794872;875;0.8175856550856547;333;547;1.0;0.7389423076923077;1.0;0.6568088748857976;13;516;1.0;0.7674679487179488;1.0;0.7674679487179488;0.0;1.127;1.0;0.7689102564102565;1.0;0.7689102564102565
MixedShapesSmallTrain;213;728;0.96875;0.7924917491749175;0.8666666666666667;0.5160644452723676;0.31;582;0.9729166666666667;0.8159240924092409;0.8844444444444445;0.5981357879377674;12;503;1.0;0.8531353135313532;1.0;0.8531353135313532;0.0;2.62;1.0;0.8332508250825083;1.0;0.8332508250825083
MixedShapesRegularTrain;317;636;0.9092741935483871;0.8374587458745875;0.7411989444247508;0.585751743672536;153;269;0.9701612903225806;0.920957095709571;0.8909551380519122;0.7672896773193792;5;216;1.0;0.9504125412541254;1.0;0.9504125412541254;0.0;1.925;1.0;0.9415841584158415;1.0;0.9415841584158415
MiddlePhalanxTW;834;1.068;0.6836734693877551;0.618421052631579;0.4787545995199055;0.45221576668945085;508;1.141;0.8408163265306122;0.5578947368421052;0.7208692497978212;0.4161031746031746;28;1.245;1.0;525;1.0;525;0.0;6.496;1.0;0.5052631578947369;1.0;0.5052631578947369
MiddlePhalanxOutlineCorrect;532;665;0.7766666666666666;0.6111111111111112;0.8139866799866795;0.6774694441361109;364;497;858;0.7715277777777778;0.8711735671735666;0.7731581073247741;84;537;997;0.7986111111111112;0.9963097643097643;0.7986111111111112;1;1.382;1.0;0.795138888888889;1.0;0.795138888888889
MiddlePhalanxOutlineAgeGroup;485;0.97;0.8125;0.6052631578947368;0.7236328856328857;0.3832433648223122;336;993;0.8955;0.6184210526315789;0.8186556850556852;0.3909925162556741;0.03;1.567;1.0;0.5657894736842105;1.0;0.5657894736842105;0.0;9.577;1.0;0.593421052631579;1.0;0.593421052631579
MelbournePedestrian;1.043;1.061;0.6526845637583892;0.6644736842105263;0.5290041551786521;0.5395879169563388;137;269;0.9741610738255033;0.9193256578947369;0.9045047569879787;0.7388394010351245;3;283;1.0;0.9384868421052632;1.0;0.9384868421052632;0.0;2.55;1.0;0.9334703947368421;1.0;0.9334703947368421
MedicalImages;1.375;1.64;0.5957446808510638;0.4986842105263158;0.46857562453307156;0.3570340161092041;869;1.17;0.7914893617021276;0.6486842105263158;0.7188716645844305;0.5069408798386243;173;881;0.9829787234042553;0.7328947368421053;0.975419647334541;0.7328947368421053;4;2.544;1.0;0.7168421052631578;1.0;0.7168421052631578
Meat;45;123;1.0;1.0;1.0;1.0;158;655;0.9964285714285714;0.7857142857142857;0.9847619047619047;0.5665306122448979;4;907;1.0;0.8285714285714285;1.0;0.8285714285714285;0.0;4.035;1.0;0.8321428571428571;1.0;0.8321428571428571
Mallat;24;573;1.0;0.7674914675767918;1.0;0.6770978539311059;358;1.041;0.9958333333333333;0.7606655290102389;0.9962962962962963;0.6693925285217335;4;801;1.0;0.8360068259385666;1.0;0.8360068259385666;0.0;4.367;1.0;0.7324232081911263;1.0;0.7324232081911263
Lightning7;431;925;0.921875;0.6805555555555556;0.8872619047619047;0.5775661375661376;445;1.066;0.95;0.65;0.92875;0.5706878306878307;19;968;1.0;0.7888888888888889;1.0;0.7888888888888889;0.0;5.104;1.0;0.7555555555555555;1.0;0.7555555555555555
Lightning2;304;623;0.8928571428571429;0.6964285714285714;0.9140573712002282;0.6854003139717426;464;709;0.8071428571428572;0.6428571428571429;0.8355802927231498;0.6790558647701505;134;631;1.0;0.7535714285714286;1.0;0.7535714285714286;5;865;1.0;0.7785714285714286;1.0;0.7785714285714286
LargeKitchenAppliances;388;1.13;0.8804347826086957;0.483695652173913;0.644769723030592;0.23217080825776487;453;608;0.8407608695652175;0.782608695652174;0.6286922417357197;0.5284795397838873;128;618;0.9804347826086957;0.8114130434782608;0.9349670619235837;0.8114130434782608;8;3.52;0.9994565217391305;0.8016304347826086;0.9976811594202899;0.8016304347826086
ItalyPowerDemand;437;0.47;0.953125;0.921875;0.9503968253968255;0.8945338949245198;106;237;0.98125;0.9203125;0.9771428571428572;0.9048178730991229;7;194;1.0;0.931640625;1.0;0.931640625;0.0;589;1.0;0.919140625;1.0;0.919140625
InsectWingbeatSound;577;1.007;0.7962962962962963;0.638663967611336;0.7112272192827748;0.5213299426833261;651;1.026;0.8175925925925925;0.6121457489878542;0.7416650989613952;0.49034332626437854;69;1.04;1.0;0.6284412955465587;1.0;0.6284412955465587;0.0;5.347;1.0;0.5981781376518218;1.0;0.5981781376518218
InsectEPGSmallTrain;205;258;875;0.8346774193548387;0.7142857142857143;0.8215053763440859;448;733;1.0;0.7330645161290322;1.0;0.452376297537588;14;615;1.0;0.8290322580645162;1.0;0.8290322580645162;0.0;1.154;1.0;0.817741935483871;1.0;0.817741935483871
InsectEPGRegularTrain;128;262;0.9285714285714286;0.8346774193548387;0.9047619047619048;0.8215053763440859;282;332;1.0;0.960483870967742;1.0;0.8851628658080269;16;109;1.0;0.9653225806451613;1.0;0.9653225806451613;0.0;313;1.0;0.9548387096774194;1.0;0.9548387096774194
InlineSkate;1.044;2.443;0.6875;0.27205882352941174;0.6089682539682539;0.20347222222222222;1.018;1.81;0.7333333333333334;0.2933823529411765;0.6645343915343914;0.2356403531109413;124;1.914;1.0;0.34963235294117645;1.0;0.34963235294117645;1;7.886;1.0;0.37720588235294117;1.0;0.37720588235294117
HouseTwenty;27;542;1.0;0.7589285714285714;0.6;0.35885661957090526;221;544;0.95;825;0.5805714285714285;0.32201607915893626;0.01;614;1.0;0.8625;0.6;0.8625;0.0;1.034;1.0;0.8910714285714286;0.6;0.8910714285714286
Herring;475;609;0.78125;0.65625;0.7485119047619047;0.6107142857142857;507;0.69;0.80625;0.596875;0.7683080808080809;0.5143650793650794;126;681;1.0;0.65;1.0;0.65;3;1.687;1.0;0.609375;1.0;0.609375
Haptics;737;1.424;0.7763157894736842;0.4605263157894737;0.7224310776942356;0.38278508771929826;703;1.337;0.8197368421052631;0.4888157894736842;0.7626783625730994;0.4031671539961013;51;1.423;1.0;0.48223684210526313;1.0;0.48223684210526313;0.0;5.385;1.0;0.45460526315789473;1.0;0.45460526315789473
HandOutlines;256;305;898;0.8940217391304348;0.9114508158508154;0.9118872673220494;256;0.33;0.9148000000000001;0.8869565217391304;0.9205776356976352;0.9073226531922182;74;287;986;0.8983695652173913;0.9878336330336329;0.8983695652173913;2;579;1.0;0.8940217391304348;1.0;0.8940217391304348
Ham;214;498;0.9711538461538461;0.7692307692307693;0.5282051282051282;0.4882450882450882;424;667;0.8884615384615385;0.6403846153846154;0.48934347703578474;0.44738236122851505;53;688;1.0;0.6519230769230769;0.5384615384615384;0.6519230769230769;1;1.616;1.0;0.6673076923076923;0.5384615384615384;0.6673076923076923
GunPointOldVersusYoung;71;77;0.9926470588235294;0.9839743589743589;0.5254901960784314;0.5299145299145299;174;186;0.9705882352941176;0.9608974358974359;0.5129799612152554;0.515115995115995;11;33;1.0;0.9923076923076923;0.5294117647058824;0.9923076923076923;0.0;0.03;1.0;0.9910256410256411;0.5294117647058824;0.9910256410256411
GunPointMaleVersusFemale;426;446;0.765625;0.7596153846153846;0.45535714285714285;0.47264957264957264;94;109;0.99375;0.9897435897435898;0.5;0.48547008547008547;4;13;1.0;0.9974358974358974;0.5;0.9974358974358974;0.0;2;1.0;1.0;0.5;1.0
GunPointAgeSpan;393;415;0.90625;0.8878205128205128;0.4538919413919414;0.44891518737672587;239;266;0.9390625;0.9198717948717949;0.49083333333333334;0.4722607307222692;39;87;1.0;0.9826923076923076;0.5;0.9826923076923076;1;72;1.0;0.985897435897436;0.5;0.985897435897436
GunPoint;389;504;875;0.7430555555555556;0.8679653679653679;0.6726384726384725;258;399;0.9708333333333333;0.8361111111111111;0.9734432234432234;0.83154481321148;18;115;1.0;0.9638888888888889;1.0;0.9638888888888889;0.0;222;1.0;0.9652777777777778;1.0;0.9652777777777778
GesturePebbleZ2;368;785;0.9513888888888888;0.6578947368421053;0.919388327721661;0.5465972623867362;316;647;0.9625;0.7842105263157895;0.9410040987818765;0.6756760490971018;13;547;1.0;0.8118421052631579;1.0;0.8118421052631579;0.0;1.993;1.0;0.8184210526315789;1.0;0.8184210526315789
GesturePebbleZ1;243;946;0.9921875;0.7916666666666666;0.9791666666666666;0.7098488812774527;294;702;0.9765625;0.8238095238095238;0.955961867993118;0.7436070701784987;13;0.5;1.0;0.8642857142857143;1.0;0.8642857142857143;0.0;3.276;1.0;0.7761904761904762;1.0;0.7761904761904762
GestureMidAirD3;1.98;2.604;0.47596153846153844;0.3046875;0.35589341214341214;0.21552605380730383;1.165;1.945;0.7576923076923077;0.3359375;0.6499667924667925;0.23404946904946902;142;1.799;1.0;0.409375;1.0;0.409375;1;8.052;1.0;0.39375;1.0;0.39375
GestureMidAirD2;1.048;1.381;0.6875;0.5390625;0.5682212552404861;0.41514399951899944;0.65;1.183;0.8682692307692308;0.6046875;0.8011100936100937;0.477151476995227;85;1.226;0.9980769230769231;0.621875;0.9961538461538462;0.621875;3;7.017;1.0;0.5796875;1.0;0.5796875
GestureMidAirD1;1.131;1.818;0.6875;0.5390625;0.57125074000074;0.4002901034151034;555;1.107;0.8807692307692307;0.7125;0.8126739926739928;0.5746063311688311;49;1.073;1.0;0.7296875;1.0;0.7296875;0.0;6.641;1.0;0.69375;1.0;0.69375
Fungi;1.229;1.708;1.0;0.7228260869565217;1.0;0.561175780740998;944;1.788;1.0;0.6358695652173912;1.0;0.45212500140761014;2;1.184;1.0;0.6717391304347826;1.0;0.6717391304347826;0.0;2.188;1.0;0.6163043478260869;1.0;0.6163043478260869
FreezerSmallTrain;317;485;875;0.7742275280898876;0.5333333333333333;0.41633101605011785;0.2;442;0.9500000000000001;0.8166432584269663;0.591111111111111;0.4539898491022092;0.01;476;1.0;0.8666432584269663;0.6666666666666666;0.8666432584269663;0.0;2.098;1.0;0.8294943820224719;0.6666666666666666;0.8294943820224719
FreezerRegularTrain;242;322;0.9236111111111112;0.8760533707865169;0.48888888888888893;0.4596946125036019;139;185;0.9569444444444445;0.9330056179775281;0.48137566137566146;0.4702047764969118;12;69;1.0;0.9785814606741573;0.5;0.9785814606741573;0.0;0.13;1.0;0.9797752808988764;0.5;0.9797752808988764
FordB;678;708;0.5641519823788547;0.5086633663366337;0.5003982923586454;0.4649446263307648;161;492;0.9392070484581498;0.777970297029703;0.9223322761428503;0.755495703416495;18;516;0.9993942731277533;0.8027227722772278;0.9947994736540992;0.8027227722772278;0.0;1.907;1.0;0.8044554455445545;0.9955947136563876;0.8044554455445545
FordA;678;711;0.5577777777777778;0.49166666666666664;0.49173456173456176;0.423958633958634;172;202;0.9307222222222222;0.92;0.9180059249392595;0.9094560120014664;27;0.17;0.9982222222222222;0.9357575757575758;0.9980182780182781;0.9357575757575758;0.0;462;1.0;0.938030303030303;1.0;0.938030303030303
Fish;321;696;0.9107142857142857;0.8035714285714286;0.8668253968253968;0.7289417989417989;442;797;0.9178571428571428;0.7261904761904762;0.8852448979591836;0.647631141345427;19;441;1.0;0.8476190476190476;1.0;0.8476190476190476;0.0;1.703;1.0;0.8511904761904762;1.0;0.8511904761904762
