Dataset;Training Accuracy;Test Accuracy;Training F1;Test F1;Training Accuracy K = 100;Test Accuracy K = 100;Training F1 K = 100;Test F1 K = 100;Training Accuracy K = 1000;Test Accuracy K = 1000;Training F1 K = 1000;Test F1 K = 1000;Training Accuracy K = 10000;Test Accuracy K = 10000;Training F1 K = 10000;Test F1 K = 10000
ElectricDevices;0.5500665062589815;0.48291956954716;0.4067584877340831;0.35080404810645116;0.7986069941558086;0.6115824723642572;0.6983566216722135;0.4291130685563558;0.9536071761899816;0.6588007583495306;0.9214575465764131;0.4804342515345327;0.9183368901954808;0.6551501738609251;0.8659250303031136;0.4830840308476694
Earthquakes;0.9962267116730258;0.6215377697841726;0.8101242200188015;0.38483857480313277;0.8743633606048844;0.7376348920863309;0.44849246199827014;0.49596322183128744;1.0;0.6387140287769784;0.820186331220295;0.47184251962805823;1.0;0.6056654676258992;0.820186331220295;0.46229187181527664
EOGVerticalSignal;0.7744537896543577;0.3351958836145823;0.6799133708463848;0.25462088756963036;0.9409844237137895;0.3900803624431073;0.915257710942906;0.2836473242353998;1.0;0.425878957753682;1.0;0.32428892648351787;1.0;0.4150740856953089;1.0;0.30711002944253424
EOGHorizontalSignal;0.8835007482470729;0.37490582620899987;0.8225967963426812;0.2489405331196706;0.9517139641948826;0.38634479972868335;0.926098297017714;0.24798911107673172;1.0;0.4319311913205774;1.0;0.29166689214620806;1.0;0.42039176131809614;1.0;0.2748176541940942
ECGFiveDays;0.9347826086956522;0.8657243777927482;0.7460869592169057;0.8231619969893;1.0;0.7095884551985339;0.7913043478260869;0.6480890829181006;1.0;0.7252054358608631;0.7913043478260869;0.6659049110407059;1.0;0.7424539266701498;0.7913043478260869;0.6845206364798906
ECG5000;0.9666666656732559;0.9386607140302659;0.901552951335907;0.8405909448862076;0.9841666787862777;0.9041964292526246;0.9543728291988373;0.7355534225702286;1.0;0.9211607158184052;1.0;0.7844957262277603;1.0;0.9065624952316285;1.0;0.7539185851812362
ECG200;0.8770833313465118;0.7875;0.9034177839756012;0.797251534461975;0.9229166656732559;0.8124999910593033;0.9386270254850387;0.8253867506980896;1.0;0.8479166716337204;1.0;0.8636348843574524;1.0;0.8458333343267441;1.0;0.8656893134117126
DodgerLoopWeekend;1.0;0.9762228260869565;1.0;0.25;1.0;0.8625452898550725;1.0;0.22006555679051776;1.0;0.9076992753623189;1.0;0.2207505131977192;1.0;0.9045742753623188;1.0;0.22184782162092737
DodgerLoopGame;1.0;0.7883152173913044;1.0;0.4583333432674408;1.0;0.6348731884057971;1.0;0.4583333432674408;1.0;0.6993659420289855;1.0;0.4583333432674408;1.0;0.7026721014492754;1.0;0.4583333432674408
DodgerLoopDay;1.0;0.521875;1.0;0.3941567465662956;1.0;0.40625;1.0;0.2608194425702095;1.0;0.428125;1.0;0.2810694437474012;1.0;0.38125;1.0;0.26474107438698413
DistalPhalanxTW;0.8296875;0.6715377697841727;0.6333463788032532;0.5137522186735551;0.9947916626930237;0.6207733812949641;0.9903693526983262;0.41635956562680304;1.0;0.6420413669064748;1.0;0.46110413739149514;1.0;0.6263489208633094;1.0;0.44874542546358037
DistalPhalanxOutlineCorrect;0.7774305552244186;0.68671875;0.8216411024332047;0.744551706314087;0.892013892531395;0.715625;0.903898936510086;0.7469149976968765;1.0;0.75;1.0;0.771359845995903;1.0;0.7734375;1.0;0.7888224244117736
DistalPhalanxOutlineAgeGroup;0.871354165673256;0.685611510791367;0.815775790810585;0.5374343855775517;0.953125;0.6701888489208633;0.938980707526207;0.5404070752987759;1.0;0.6625;1.0;0.5199691943556285;1.0;0.643660071942446;1.0;0.49643231780408953
DiatomSizeReduction;1.0;0.9703302311351877;1.0;0.9478156104976057;1.0;0.7235294133619545;1.0;0.6380142004661311;1.0;0.7565359519587623;1.0;0.6765195394263548;1.0;0.7374269060449663;1.0;0.655886148977903
Crop;0.6733888894319534;0.6641904801130295;0.5459462851285934;0.3986582949757576;0.6818611085414886;0.5541428565979004;0.5542367428541184;0.2817268431186676;0.9992962996164957;0.6361666699250539;0.9988656083742777;0.35643300612767537;0.9713333338499069;0.6430714339017868;0.9522221118211747;0.37158057391643523
CricketZ;0.7454220085571974;0.3332745691751822;0.6376723994352879;0.23463496698782996;0.8916559849029932;0.5224145249525706;0.8392324049656208;0.39083850852954083;1.0;0.6483760654009305;1.0;0.5255766701239806;1.0;0.6358814162474412;1.0;0.5024084851680658
CricketY;0.7662232886216579;0.40333867371082305;0.6616844799274053;0.30596813812469825;0.9270085450319143;0.4668215817060226;0.885646518988487;0.3518293063533612;1.0;0.6033546963868996;1.0;0.48426134783488056;1.0;0.5735790642866722;1.0;0.452129318912824
CricketX;0.7400587626603934;0.33855769131428154;0.6344332944124172;0.241475022763778;0.9098985052414429;0.5213087626756766;0.8598029638253726;0.4116090083733583;1.0;0.6266239316341204;1.0;0.5167527231803307;1.0;0.6163354800297663;1.0;0.5109526916650625
Computers;0.8956142788410187;0.5382571439027786;0.8967172877311707;0.4523174631595612;0.8168428520202636;0.6632999995231629;0.8015452055454254;0.4523174631595612;0.9991142861366272;0.6973142929553986;0.9989877555847168;0.4523174631595612;1.0;0.7017285676002503;1.0;0.4523174631595612
Coffee;1.0;1.0;1.0;0.25;1.0;475;1.0;0.11833333522081375;1.0;0.4375;1.0;0.11333333551883698;1.0;0.4875;1.0;0.11833333522081375
CinCECGTorso;1.0;0.455087211728096;1.0;0.391849173605442;1.0;0.48473837673664094;1.0;0.40802209079265594;1.0;0.5027616307139396;1.0;0.4266549676656723;1.0;0.5213662773370743;1.0;0.4399448722600937
ChlorineConcentration;0.6469409575554237;0.5984895914793015;0.45120103557053676;0.4063518360257149;0.803976750858846;0.4951041728258133;0.7080191205604683;0.37117487490177153;1.0;0.5137500017881393;1.0;0.4329429462552071;1.0;0.5072916686534882;1.0;0.43114648908376696
Chinatown;0.95;0.967832841887071;0.9400000035762787;0.7254078066731334;1.0;0.8691448026078784;1.0;0.7237817740648899;1.0;0.8710190178701551;1.0;0.72378177406489;1.0;0.8775440697767297;1.0;0.7237817740648897
Car;1.0;0.7875;1.0;0.7625992089509964;1.0;0.3875;1.0;0.3674404814839363;1.0;0.45;1.0;0.4247222229838371;1.0;0.49375;1.0;0.49136905260384084
CBF;1.0;0.8591517895460129;1.0;0.7981179147958756;1.0;0.6741071403026581;1.0;0.5935501709580422;1.0;0.7392857134342193;1.0;0.6666822537779808;1.0;0.7263392806053162;1.0;0.648565761744976
BirdChicken;875;0.7125;0.8600000083446503;0.5583333402872086;1.0;0.65;1.0;0.5433333426713943;1.0;0.7125;1.0;0.6000000089406967;1.0;0.7125;1.0;0.6300000101327896
BeetleFly;1.0;0.8875;1.0;0.8333333402872085;1.0;0.8;1.0;0.6800000041723251;1.0;875;1.0;0.8000000059604645;1.0;875;1.0;0.7833333402872086
Beef;0.9066666666666666;0.6633333333333333;0.8620740822950999;0.6083333366115888;1.0;0.7466666666666666;1.0;0.6867407448093097;1.0;0.7666666666666666;1.0;0.7192592598001163;1.0;0.7616666666666666;1.0;0.7268518502513568
BME;1.0;0.8307407344977061;1.0;0.7450135179360708;1.0;0.6472963017225266;1.0;0.4913780064781507;1.0;0.6916666680971782;1.0;0.5589528514146805;1.0;0.6706296300093333;1.0;0.5298243414560955
ArrowHead;0.9375;0.7368857154164996;0.930873018503189;0.5092152143887111;1.0;0.5204000002997262;1.0;0.426692066362926;1.0;0.527057140145983;1.0;0.42669206636292595;1.0;0.5359142851148333;1.0;0.426692066362926
AllGestureWiimoteZ;1.0;0.23392857164144515;1.0;0.1044590301811695;0.9534722119569778;0.3875;0.9255905330181122;0.19289930015802384;1.0;0.4696428582072258;1.0;0.24576297029852867;1.0;0.4827380940318108;1.0;0.2549534112215042
AllGestureWiimoteY;0.9965277761220932;0.2970238119363785;0.9946737229824066;0.14651318043470382;0.9659722119569778;0.4116071447730064;0.9414938271045685;0.1825181007385254;1.0;0.4833333283662796;1.0;0.21874371394515038;1.0;0.48779762238264085;1.0;0.22391187697649
AllGestureWiimoteX;0.9638888746500015;0.25684523656964303;0.942484125494957;0.10764088518917561;0.962499988079071;0.4491071417927742;0.9355091094970703;0.21866608709096907;1.0;0.5148809492588043;1.0;0.26628683134913445;1.0;0.5351190477609634;1.0;0.28724999353289604
Adiac;0.8012179477092547;0.6468563542341638;0.7050721280085734;0.5087417056798326;0.9760309789119622;0.441267054282186;0.9602188787399194;0.3117953780209622;1.0;0.51633631812642;1.0;0.38595607875253235;1.0;0.47875639636193396;1.0;0.34420433649626536
ACSF1;0.8854166686534881;0.6229166656732559;0.8408902078866959;0.49790078997612;0.9291666626930237;0.7458333283662796;0.8916746079921722;0.6101309508085251;1.0;0.8291666656732559;1.0;0.7145760625600814;1.0;0.8020833373069763;1.0;0.696039679646492
